Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,2.1623947066215280819612795142,2.16239470662153,2.16239470662153,2.16239470662153,2.16239470662153,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,852086.2
0.02,0,2.1778042395572368250197740336,2.17780423955724,2.17780423955724,2.17780423955724,2.17780423955724,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,1704172
0.03,0,2.1796646086505253495647456729,2.17966460865053,2.17966460865053,2.17966460865053,2.17966460865053,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,2556258
0.04,0,2.1790407234563110474185315947,2.17904072345631,2.17904072345631,2.17904072345631,2.17904072345631,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,3408345
0.05,0,2.1778049087451528663404129388,2.17780490874515,2.17780490874515,2.17780490874515,2.17780490874515,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,4260431
0.06,0,2.1764438379324374090325722084,2.17644383793244,2.17644383793244,2.17644383793244,2.17644383793244,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,5112517
0.07,0,2.1751089541703207436106294202,2.17510895417032,2.17510895417032,2.17510895417032,2.17510895417032,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,5964604
0.08,0,2.1738486460881379293295430220,2.17384864608814,2.17384864608814,2.17384864608814,2.17384864608814,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,6816690
0.09,0,2.1726752325587580596921965615,2.17267523255876,2.17267523255876,2.17267523255876,2.17267523255876,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,7668776
0.10,0,2.1715876988122973571698409012,2.1715876988123,2.1715876988123,2.1715876988123,2.1715876988123,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,8520862
0.11,0,2.1705802319389220147939137178,2.17058023193892,2.17058023193892,2.17058023193892,2.17058023193892,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,9372948
0.12,0,2.1696456232375772928917554873,2.16964562323758,2.16964562323758,2.16964562323758,2.16964562323758,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,10225030
0.13,0,2.1687766215375656865717250820,2.16877662153757,2.16877662153757,2.16877662153757,2.16877662153757,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,11077120
0.14,0,2.1679665040142204836535584918,2.16796650401422,2.16796650401422,2.16796650401422,2.16796650401422,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,11929210
0.15,0,2.1672092252143919219817089743,2.16720922521439,2.16720922521439,2.16720922521439,2.16720922521439,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,12781290
0.16,0,2.1664994078374899349362963824,2.16649940783749,2.16649940783749,2.16649940783749,2.16649940783749,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,13633380
0.17,0,2.1658323494869490430177096647,2.16583234948695,2.16583234948695,2.16583234948695,2.16583234948695,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,14485470
0.18,0,2.1652039253930481026934248453,2.16520392539305,2.16520392539305,2.16520392539305,2.16520392539305,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,15337550
0.19,0,2.1646104967198579724254059371,2.16461049671986,2.16461049671986,2.16461049671986,2.16461049671986,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,16189640
0.20,0,2.1640488936553998192213799036,2.1640488936554,2.1640488936554,2.1640488936554,2.1640488936554,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,17041720
0.21,0,2.1635162992063812206096873590,2.16351629920638,2.16351629920638,2.16351629920638,2.16351629920638,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,17893810
0.22,0,2.1630102437718498118987984127,2.16301024377185,2.16301024377185,2.16301024377185,2.16301024377185,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,18745900
0.23,0,2.1625285388540708029668027868,2.16252853885407,2.16252853885407,2.16252853885407,2.16252853885407,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,19597980
0.24,0,2.1620692230214790330535792235,2.16206922302148,2.16206922302148,2.16206922302148,2.16206922302148,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,20450070
0.25,0,2.1616305630631503673832301051,2.16163056306315,2.16163056306315,2.16163056306315,2.16163056306315,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,21302160
0.26,0,2.1634470625391025860380842614,2.1634470625391,2.1634470625391,2.1634470625391,2.1634470625391,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,22154240
0.27,0,2.1652815412117589910361701548,2.16528154121176,2.16528154121176,2.16528154121176,2.16528154121176,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,23006330
0.28,0,2.1671323319265374612869901415,2.16713233192654,2.16713233192654,2.16713233192654,2.16713233192654,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,23858410
0.29,0,2.1689984313817571593046855952,2.16899843138176,2.16899843138176,2.16899843138176,2.16899843138176,0,0,0,0,44.8915947776359,105.30480808740600577202869082,105.30480808740600577202869082,24710500
